Year,Model,TrainSize,TestSize,PositivesTrain,PositivesTest,ROC_AUC,PR_AUC,BestThreshold,BestF1
2018,RandomForest,890,4698,72,104,0.6584591942667694,0.04649899385024805,0.152,0.08005164622324465
2018,LightGBM,890,4698,72,104,0.6727169217373832,0.04291042611129316,0.9996471702652047,0.10572687224619955
2018,XGBoost,890,4698,72,104,0.6540387127021868,0.03667588837617449,0.18753789365291595,0.07668231611878633
2019,RandomForest,5588,4934,176,59,0.709568013906997,0.0562141073059721,0.136,0.12698412698362901
2019,LightGBM,5588,4934,176,59,0.7188735332464146,0.046333148249148234,0.03235191760293036,0.13043478260820618
2019,XGBoost,5588,4934,176,59,0.7203581051716645,0.054152987437345944,0.25203606486320496,0.1386138613856528
2020,RandomForest,10522,5648,235,106,0.6177296187603413,0.03127120523343772,0.06,0.08064516128991507
2020,LightGBM,10522,5648,235,106,0.6298574181379926,0.031227686818173797,0.001854002425557808,0.06783919597966864
2020,XGBoost,10522,5648,235,106,0.6086063201759463,0.031251042215462946,0.009769574739038944,0.06824644549744958
2021,RandomForest,16170,7159,341,215,0.7291223475511736,0.0774488008065494,0.06,0.15325670498035845
2021,LightGBM,16170,7159,341,215,0.7210347229664559,0.07542304050294399,0.014357088478258801,0.13599062133608253
2021,XGBoost,16170,7159,341,215,0.7371496892080163,0.0838454666376342,0.024467643350362778,0.14814814814779664
2022,RandomForest,23329,7871,556,68,0.6065003279281724,0.011932727504094673,0.076,0.03327171903859722
2022,LightGBM,23329,7871,556,68,0.6107417207559687,0.010870548393025703,0.003920847407331572,0.025367156208247896
2022,XGBoost,23329,7871,556,68,0.605400637763756,0.010564936299228268,0.02581654116511345,0.02373007044859749
2023,RandomForest,31200,8668,624,156,0.6326099202332754,0.040831917027046714,0.104,0.08974358974308974
2023,LightGBM,31200,8668,624,156,0.6405278520821285,0.03510203185729229,0.17780704328921165,0.06693440428347142
2023,XGBoost,31200,8668,624,156,0.6304892339020628,0.0338502953796048,0.22759181261062622,0.07335907335865242
2024,RandomForest,39868,8790,780,121,0.47748412935233264,0.013460809483319392,0.004,0.028693980180411527
2024,LightGBM,39868,8790,780,121,0.4875337123158514,0.013032190519622495,0.0012202291099078569,0.03095558546430174
2024,XGBoost,39868,8790,780,121,0.4728104035563216,0.013780860013111929,0.47541800141334534,0.038461538461040855
2025,RandomForest,48658,7982,901,53,0.5908106616028574,0.01013424852814291,0.042,0.03252032520305979
2025,LightGBM,48658,7982,901,53,0.6307036267629933,0.009644768249117643,0.1293682272459578,0.024930747922366964
2025,XGBoost,48658,7982,901,53,0.6212970300092566,0.009688663537989698,0.09593765437602997,0.024154589371918715
