SplitType,Protocol,NumFeatures,Model,TrainSize,TestSize,ROC_AUC,PR_AUC,BestThreshold,BestF1
Chronological_80_20,Biased,20,RandomForest,45312,11328,0.5453270834226697,0.015026375269571103,0.04,0.029761904761684527
Chronological_80_20,Biased,20,LightGBM,45312,11328,0.5829991276088257,0.013456512527107375,0.0473319483396872,0.02903811252264835
Chronological_80_20,Biased,20,XGBoost,45312,11328,0.5981738835185555,0.014908115332975227,0.4753929376602173,0.040404040403604694
Chronological_80_20,Standard,13,RandomForest,45312,11328,0.5867459809198701,0.016076686311814168,0.066,0.033149171270262734
Chronological_80_20,Standard,13,LightGBM,45312,11328,0.5945025999506512,0.0219390349545132,0.06668692399334322,0.02928805109826313
Chronological_80_20,Standard,13,XGBoost,45312,11328,0.5821007263834008,0.022706069445402245,0.7433590888977051,0.028985507246230096
Chronological_80_20,Ultra,8,RandomForest,45312,11328,0.5611879423026769,0.017830767626021482,0.056,0.03358778625922939
Chronological_80_20,Ultra,8,LightGBM,45312,11328,0.6065202980330076,0.015067380398925183,0.4660944236126144,0.03359462485977841
Chronological_80_20,Ultra,8,XGBoost,45312,11328,0.5918819115559846,0.014654335172788049,0.4373209476470947,0.03311867525278351
Random_80_20,Biased,20,RandomForest,45312,11328,0.8661092429508355,0.2578884963897562,0.088,0.32727272727223594
Random_80_20,Biased,20,LightGBM,45312,11328,0.8379774601618021,0.17129750907980973,0.6449088171902998,0.2622950819667141
Random_80_20,Biased,20,XGBoost,45312,11328,0.8430066844775235,0.19229611444608277,0.5510702729225159,0.27160493827112786
Random_80_20,Standard,13,RandomForest,45312,11328,0.845920889145046,0.17936082598143838,0.08,0.28635346756103186
Random_80_20,Standard,13,LightGBM,45312,11328,0.82680532370049,0.11464720739902819,0.5238216057569668,0.1946403385045429
Random_80_20,Standard,13,XGBoost,45312,11328,0.8197358270413183,0.11261944338056502,0.5315905213356018,0.20102214650722708
Random_80_20,Ultra,8,RandomForest,45312,11328,0.7895771700106292,0.1300883810787748,0.088,0.2132701421795993
Random_80_20,Ultra,8,LightGBM,45312,11328,0.77921902699694,0.09824842941257889,0.6396440661676996,0.179871520342129
Random_80_20,Ultra,8,XGBoost,45312,11328,0.7833193162549061,0.08739041600232116,0.6795141100883484,0.18384401114156335
